movie,director,music,cast,plot_excerpt
Simma Soppanam,[[Vijay Krishnaraj]]<br />S. S. Karuppa Sami,[[K. V. Mahadevan]],[[Sivaji Ganesan]]<br />[[K. R. Vijaya]]<br />[[Prabhu (actor)|Prabhu]]<br />[[Radha (actress)|Radha]],"{{more plot|date=October 2023}}
The hero played by Shivaji Ganesan is a staunch communist hotshot labour lawyer who brings corrupt evil industrialist to their knees. He spends his time organising union activities. He, however, gets betrayed by his number 2, played by Major Sundarajan who wants the position and power to be his. He also loses is hand in the process, becomes disillusioned and quits fighting for them. His son, played by Prabhu, also a lawyer gives the romantic angle. Incidentally, both father and son are pulled back by the atrocities committed by the industrialists on the labourer's eventually killing them."
Kuzhandhaigal Kanda Kudiyarasu,[[B. R. Panthulu]],[[T. G. Lingappa]],[[B. R. Panthulu]]<br />[[M. V. Rajamma]],"{{more plot|date=July 2022}}
A scientist takes children to an unknown planet, where they establish a democratic republic.<ref>{{Cite book |title=Routledge Handbook of Indian Cinemas |publisher=[[Routledge]] |year=2013 |isbn=978-1-136-77291-7 |editor-last=Gokulsing |editor-first=K. Moti |pages=290 |editor-last2=Dissanayake |editor-first2=Wimal}}</ref>"
Ennai Pol Oruvan,[[T. R. Ramanna]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Sarada (actress)|Saratha]]<br />[[Ushanandini]]<br />Aalam,{{No plot|date=August 2021}}
Dharti (1970 film),[[C. V. Sridhar]],[[Shankar-Jaikishan]],[[Rajendra Kumar]]<br />[[Waheeda Rehman]],"Vasantpur is a small [[princely state]] adjacent to India. It is ruled by a kind king, but his general, Diwan, who is a cruel man, is planning to take over Vasantpur with the help of [[Dutch Republic|Dutch]] powers. Meanwhile, the King's Inspector General Chandrashekhar's son, Bharat gets his higher education from [[Switzerland]]. There, he meets the King's daughter, Jwala alias Chitralekha. They both fall in love. After some time, Bharat gets a message from his fellow friends that Vasantpur is falling into the clutches of cruel Diwan and he hurries to Vasantpur with Jwala. Following their adventures, they take Dikky and Rosey under their wing. When their two attempts to kill Diwan are foiled, they devise a plan to kill Diwan in his own palace. But the cruel Diwan has imprisoned Chandrashekhar and the King and is going to become Vasantpur's king. Now what does fate have in store for Bharat and all of Vasantpur?"
Vadivukku Valai Kappu,[[A. P. Nagarajan]],[[K. V. Mahadevan]],[[Sivaji Ganesan]]<br />[[Savitri (actress)|Savitri]]<br />[[Sowcar Janaki]],{{No plot|date=June 2021}}
1975,Error,Error,Error,Error
Puthiya Vaanam,[[R. V. Udayakumar]],[[Hamsalekha]],{{unbulleted list|[[Sivaji Ganesan]]|[[Sathyaraj]]|[[Rupini]]|[[Gautami]]}},"{{More plot|date=September 2023}}
In the past, the honest military officer Jeevadurai was killed by Govindan. Thereafter, Rajaratnam, Jeevadurai's son, was brought up by [[Deputy inspector general of police|D.I.G.]] Pandidurai. A few years later, Rajaratnam marries Devaki and they then have a son. Like his father, Rajaratnam becomes a police officer. In Shanthi Nagar, Govindan, who is now known as Kocha, controls the city and the people are afraid of him and his henchmen. His adopted father Pandidurai transfers Rajaratnam to Shanthi Nagar."
1964,Error,Error,Error,Error
Bhaaga Pirivinai,[[A. Bhimsingh]],[[Viswanathan–Ramamoorthy]],[[Sivaji Ganesan]]<br />[[B. Saroja Devi]],"Vaidyalingam and Sundaralingam are brothers devoted to each other and married to Akilandam and Meenakshi respectively. While Vaidyalingam has no children of his own, Sundaralingam has Kannaiyan and Mani. While Kannaiyan had lost the use of his left hand due to an accident turns out to be uneducated; Mani turns out to be healthy, well-educated and almost the surrogate son of Akilandam, who hates the rest of Sundaralingam's family.


Enter Singapore Singaram, Akilandam's brother who is corrupt, cunning, evil, money-minded. He manipulates the situation such that Sundaralingam and Vaidyalingam are forced to partition their property (something considered the ultimate failure of joint families) while Kannaiyan and Mani are forced to separate as Mani is now married to Amudha, Singaram's daughter. Kannaiyan is married to Ponni. Singaram swindles off all the money from Akilandam and gets Mani into trouble in his office by stealing the company money.


In the end, Kannaiyan who comes to city to get treatment, accidentally gets electric shock and gets back the use of his hand, thrashes Singaram and reunites the family."
1976,Error,Error,Error,Error
Annaiyin Aanai,[[Chitrapu Narayana Rao|Ch. Narayana Murthy]],[[S. M. Subbaiah Naidu]],{{ubl|[[Sivaji Ganesan]]|[[Savitri (actress)|Savitri]]}},{{No plot|date=August 2021}}
Kudumbam Oru Kovil,[[A. C. Tirulokchandar]],[[M. Ranga Rao]],{{ubl|[[Sivaji Ganesan]]|[[Lakshmi (actress)|Lakshmi]]|[[Murali (Tamil actor)|Murali]]|[[Ranjini (actress)|Ranjini]]}},{{No plot|date=September 2020}}
Illara Jothi,G. R. Rao<br />[[T. R. Sundaram]] (supervisor),[[G. Ramanathan]],[[Sivaji Ganesan]]<br />[[Padmini (actress)|Padmini]]<br />[[Sriranjani Jr.|Sriranjani]],"Manohar is an under appreciated poet and playwright. He is married to Kaveri, a kind hearted personality who cannot match Manohar's intellect. During his travails he is found by Chitra, a connoisseur of fine arts and drama. She encourages Manohar to become a published author and refers him to her contacts. Manohar achieves dramatic success, money flows in to his life, his lifestyle changes and he spends a lot of time with Chitra neglecting Kaveri. After some struggles he realises Kaveri is ready to let go of him and sacrifice her love for him. He realises his selfishness in this drama and apologises to both Kaveri and Chitra, finally making up with Kaveri.
{{No plot|date=July 2021}}"
Pesum Deivam,[[K. S. Gopalakrishnan]],[[K. V. Mahadevan]],[[Sivaji Ganesan]]<br />[[Padmini (actress)|Padmini]],"{{more plot|date=July 2022}}
Lakshmi, after marrying Chandru, yearns for a child. Barren for a long time, they make special arrangements with their maid to adopt her unborn child. But their happiness is short-lived when the newborn baby dies. Their sadness is overtaken soon, when Lakshmi becomes pregnant. The child is born and is healthy. Does Lakshmi's wants end there? No, the child has a special problem.... and the wants continue."
Sabaash Meena,[[B. R. Panthulu]],[[T. G. Lingappa]],[[Sivaji Ganesan]]<br />[[B. Saroja Devi]]<br />[[Malini (Tamil actress)|Malini]]<br />[[J. P. Chandrababu]],"Mohan is a rich spoilt brat. His erratic and irresponsible behaviour forces his father Sadasivam Pillai to send him to his friend Appadurai's place in [[Chennai|Madras]] to work and learn something in life. Mohan, a street smart man, sends his friend Shekar in his place to Appadurai. Appadurai, who has not seen Mohan before, accepts Shekar as Mohan and gives him a job. Shekar falls in love with Appadurai's daughter and Mohan who meets Meena in a bus falls for her.

Adding to the mix is Mookan, played by Chandrababu again, who gets swapped with the Sekhar giving hilarious situation while Sankar, the corrupt manager of Appadurai and the intended groom for Meena, serves as villain to unite Sekhar and Mohan to resolve all issues and take their due place.

What follows is a hilarious depiction of both their love stories and the confusions it creates."
1971,Error,Error,Error,Error
Uruvangal Maralam,[[S. V. Ramanan]],S. V. Ramanan,"{{plainlist|
* [[Y. G. Mahendran]]
* [[Suhasini Maniratnam|Suhasini]]}}","{{more plot|date=March 2023}}
Ramalingam believes in a formless God more than anything else in this world and worships all forms of Gods right down to newspaper clippings. He works in a bank where he is constantly mocked. Even his wife looks down upon this habit of his.

He is once called by God, which he initially considers a prank, who tells him that he has to inform people about the various things about to happen in the future. He starts believing that the person he spoke to, in form of Sivaji Ganesan, is God when he is summoned to 18th floor of a 7th floor building through a lift when he is unable to replicate.

Ramalingam starts his task of telling people, but no one believes him in the beginning. However, his ""predictions"" of train accident, among others, start to happen in real time. Slowly when what he says starts occurring people term him a powerful monk and start coming to him. God takes several other famous actor forms and keeps hinting the world through Ramalingam. One day, God tells Ramalingam that his son is going to die. The tables turn and Ramalingam starts cursing God though he still keeps his faith. In the end, he is arrested as a terrorist for pointing out a train accident before it happened, something one cannot know without inside knowledge. God appears in court which the judge mocks. God disappears in front of all to show he is God and Ramalingam is not insane. God gives Ramalingam his son back saying this is why God no longer interferes in human affairs."
Pasamalar,[[A. Bhimsingh]],[[Viswanathan–Ramamoorthy]],[[Sivaji Ganesan]]<br />[[Gemini Ganesan]]<br />[[Savitri (actress)|Savitri]],"Rajasekharan alias Raju becomes the guardian to his younger sister Radha after their parents' death. When the factory where Raju works is closed due to a labour problem and he is depressed, Radha gives him {{INR}}1000 which she had earned and saved by making toys. She advises him to use this money as [[seed money|seed capital]] and commence his own toy business. Raju assents, and in a short time, becomes rich. Anand, a former colleague of Raju, is jobless and approaches Raju for work. Raju appoints him in his concern and over a period of time, Anand and Radha fall in love. Raju, who is very possessive of his sister, gets angry with Anand as he feels betrayed. However, knowing how intensely Radha loves Anand, he arranges their wedding.

After the marriage, Anand, along with his aunt and cousin, move into Raju's house. Raju marries Malathy, a doctor, on Radha's suggestion. All of them continue to live under the same roof and several misunderstandings arise. Anand's aunt uses every opportunity to widen the rift between Malathy and Radha and Radha and Anand. Unable to witness Radha's troubles, Raju moves out of the house with his wife. Through Radha, Anand's aunt serves a legal notice to Raju, demanding a share in the property for Radha. Malathy files a counter petition and the property is attached by the court, pending resolution. Unable to see Radha's sufferings, Raju withdraws the case. Still the families do not unite.

Radha delivers a girl and Malathy delivers a boy. After her child's birth, Malathy goes abroad for further studies, leaving the child with Raju. Unable to cope with the separation from his sister and to have peace of mind, Raju goes on a pilgrimage for several months. He returns on [[Diwali]] day and goes to meet Radha, but is denied entry by Anand's aunt. While going back, he saves a little girl from getting burnt by firecrackers and in the process, loses his eyesight. He is hospitalised and Radha rushes to the hospital to see her brother. Raju learns that the girl he saved is none other than his niece. Unable to cope with his inability to see them, he dies; Radha too dies holding his hand. Anand comes after and feels bad for Raju and Radha, and on their behalf, Anand takes care of Radha's daughter and Raju's son."
